acontra+,PRIME: ACONTRA+ CINE ᴿᴬᵂ
RunTime Familia,M+: EN FAMILIA ᴿᴬᵂ
La Sexta HD,M+: LA SEXTA ᴿᴬᵂ
Energy,M+: ENERGY ᴿᴬᵂ
DMAX,M+: DMAX ᴿᴬᵂ
Divinity,M+: DIVINITY ᴿᴬᵂ
Nova,M+: NOVA ᴿᴬᵂ
Neox,M+: NEOX ᴿᴬᵂ
Mega,M+: MEGA ᴿᴬᵂ
Be Mad,M+: BE MAD ᴿᴬᵂ
Atreseries,M+: A3SERIES ᴿᴬᵂ
DKISS,M+: DKISS TV ᴿᴬᵂ
24 Horas,M+: 24 HORAS ᴿᴬᵂ
TRECE,M+: TRECE ᴿᴬᵂ
Ten,M+: TEN ᴿᴬᵂ
TV3,M+: TV3 ᴿᴬᵂ
Telemadrid,M+: TELEMADRID ᴿᴬᵂ
,M+: GALICIA TV ᴿᴬᵂ
ETB1,M+: ETB 1 ᴿᴬᵂ
Dreamworks HD,M+: DREAM WORKS ᴿᴬᵂ
ETB2,M+: ETB 2 ᴿᴬᵂ
ETB3,M+: ETB 3 ᴿᴬᵂ
M+ Golf HD,M+: GOL ᴿᴬᵂ
,M+: TV GALICIA 2 ᴿᴬᵂ
M+ Documentales HD,M+: M.DOCUMENTALES ᴿᴬᵂ
M+ Hits HD,M+: HIT TV  ᴿᴬᵂ
Náutica TV,M+: NAUTICA ᴿᴬᵂ
M+ Deportes HD,M+: M.DEPORTES ᴿᴬᵂ
Warner TV HD,M+: WARNER TV ᴿᴬᵂ
Teledeporte,M+: TELEDEPORTE ᴿᴬᵂ
M+ Estrenos HD,M+: M.CINE ᴿᴬᵂ
M+ Estrenos HD,M+: M.CINE ᴴᴰ
Movistar Plus+ HD,M+: M.PLUS ᴿᴬᵂ
Movistar Plus+ HD,M+: M.PLUS ᴴᴰ
M+ Acción HD,M+: M.ACCION ᴿᴬᵂ
M+ Comedia HD,M+: M.COMEDIA ᴿᴬᵂ
M+ Comedia HD,M+: M.COMEDIA ᴴᴰ
M+ Drama HD,M+: M.DRAMA ᴿᴬᵂ
M+ Cine Español,M+: M.CINE Ñ ᴿᴬᵂ
Canal Hollywood HD,M+: HOLLYWOOD ᴿᴬᵂ
CMM TV,M+: CMM TV ᴿᴬᵂ
TCM HD,M+: TCM ᴿᴬᵂ
Squirrel 2,M+: PARAMOUNT ᴿᴬᵂ
TRACE Latina,M+: TRACE LATINA ᴿᴬᵂ
Sundance TV,M+: SUNDANCE ᴿᴬᵂ
