acontra+,PRIME: ACONTRA+ CINE ᴿᴬᵂ
Caza y Pesca HD,M+: CAZA Y PESCA ᴿᴬᵂ
Cosmo HD,M+: COSMO ᴿᴬᵂ
National Geographic HD,M+: NAT GEOGRAPHIC ᴿᴬᵂ
Nat Geo Wild HD,M+: NAT GEO WILD ᴿᴬᵂ
Historia,M+: HISTORIA ᴿᴬᵂ
Discovery,M+: DISCOVERY CHANEL ᴿᴬᵂ
Canal Extremadura,M+: CANAL EXTREMADURA
Odisea,M+: ODISEA ᴿᴬᵂ
MTV España,M+: MTV ESPANA ᴿᴬᵂ
À Punt,M+: A PUNT ᴿᴬᵂ
Canal de las Estrellas,M+: CANAL ESTRELLAS ᴿᴬᵂ
AMC Western,M+: BUEN VIAJE ᴿᴬᵂ
,#### MOVISTAR SPORT ᴿᴬᵂ ####
DAZN LaLiga HD,M+: DAZN LA LIGA ᴿᴬᵂ
DAZN LaLiga 2 HD,M+: DAZN LA LIGA 2 ᴿᴬᵂ
DAZN F1 HD,M+: DAZN F1 ᴿᴬᵂ
DAZN 1 HD,M+: DAZN 1 ᴿᴬᵂ
DAZN 2 HD,M+: DAZN 2 ᴿᴬᵂ
DAZN 3 HD,M+: DAZN 3 ᴿᴬᵂ
DAZN 4 HD,M+: DAZN 4 ᴿᴬᵂ
M+ LaLiga HD,M+: M.LALIGA ᴿᴬᵂ
M+ LaLiga 2 HD,M+: M.LALIGA 2 ᴿᴬᵂ
M+ LaLiga 3 HD,M+: M.LALIGA 3 ᴿᴬᵂ
M+ LaLiga 4,M+: M. LALIGA 4 ᴿᴬᵂ
M+ LaLiga 4,M+: M. LALIGA 4 ᴴᴰ
M+ LaLiga 4,M+: M. LALIGA 4 SD
M+ LaLiga 5,M+: M. LALIGA 5 ᴿᴬᵂ
M+ LaLiga 5,M+: M. LALIGA 5 ᴴᴰ
M+ LaLiga 5,M+: M. LALIGA 5 SD
M+ Deportes HD,M+: M.DEPORTES 1 ᴿᴬᵂ
M+ Deportes 2 HD,M+: M.DEPORTES 2 ᴿᴬᵂ
M+ Deportes 3,M+: M.DEPORTES 3 ᴿᴬᵂ
M+ Deportes 4,M+: M.DEPORTES 4 ᴿᴬᵂ
M+ Deportes 5,M+: M.DEPORTES 5 ᴿᴬᵂ
M+ Liga de Campeones HD,M+: M.LCAMPEONES ᴿᴬᵂ
M+ Liga de Campeones 2 HD,M+: M.LCAMPEONES 2 ᴿᴬᵂ
M+ Liga de Campeones 3 HD,M+: M.LCAMPEONES 3 ᴿᴬᵂ
M+ Golf HD,M+: M.GOLF ᴿᴬᵂ
M+ Vamos HD,M+: #VAMOS ᴿᴬᵂ
Eurosport 1 HD,M+: EUROSPORT 1 ᴿᴬᵂ
Eurosport 2,M+: EUROSPORT 2 ᴿᴬᵂ
Eurosport 1 HD,M+: EUROSPORT 1 ᴴᴰ
Eurosport 2,M+: EUROSPORT 2 ᴴᴰ
Real Madrid TV,M+: REAL MADRID TV ᴿᴬᵂ
La 2,ES: LA 2 ᴴᴰ
La Sexta HD,ES: LA SEXTA ᴴᴰ
,ES: ALCARRIA TV ᴴᴰ
AMC HD,ES: AMC ᴴᴰ
Antena 3 HD,ES: ANTENA 3 ᴴᴰ
Aragón TV,ES: ARAGON TV INT ᴴᴰ
AXN HD,ES: AXN ᴴᴰ
,ES: BBC NEWS ᴴᴰ
Be Mad,ES: BE MAD ᴴᴰ
Betevé,ES: BETEVÉ ᴴᴰ
Betis TV,ES: BETIS TV ᴴᴰ
,ES: BLAZE ᴴᴰ
Boing,ES: BOING ᴴᴰ
Calle 13 HD,ES: CALLE 13 ᴴᴰ
Canal Extremadura,ES: CANAL EXTREMADURA ᴴᴰ
Canal Extremadura,ES: CANAL EXTREMADURA ᴴᴰ
,ES: CANAL MALAGA ᴴᴰ
Canal Sur HD,ES: CANAL SUR ᴴᴰ
,ES: CINEAR ᴴᴰ
,ES: CINEMAX ᴴᴰ
Clan,ES: CLAN ᴴᴰ
Comedy Central HD,ES: COMEDY CENTRAL ᴴᴰ
Cuatro HD,ES: CUATRO ᴴᴰ
,ES: DISCOVERY H&H ᴴᴰ
,ES: DISCOVERY KIDS ᴴᴰ
,ES: DISCOVERY KIDS ᴴᴰ
Discovery Turbo,ES: DISCOVERY TURBO ᴴᴰ
Discovery Turbo,ES: DISCOVERY TURBO ᴴᴰ
,ES: DISNEY CHANNEL ᴴᴰ
Divinity,ES: DIVINITY ᴴᴰ
DKISS,ES: DKISS ᴴᴰ
El Toro TV,ES: ELTORO TV ᴴᴰ
Energy,ES: ENERGY ᴴᴰ
ETB1,ES: ETB 1 ᴴᴰ
ETB2,ES: ETB 2 ᴴᴰ
Flamenco Auditorio,ES: FLAMENCO AUDITORIO ᴴᴰ
,ES: FOOD NETWORK ᴴᴰ
,ES: HOME & HEALTH DISCOVERY ᴴᴰ
Iberalia TV,ES: IBERALIA ᴴᴰ
M+ LaLiga HD,ES: LA LIGA 1 ᴴᴰ
M+ LaLiga 2 HD,ES: LA LIGA 2 ᴴᴰ
La Otra,ES: LA OTRA ᴴᴰ
,ES: LAS SIETE ᴴᴰ
Mega,ES: MEGA ᴴᴰ
Movistar Plus+ HD,ES: MOVISTAR PLUS +2 ᴴᴰ
MTV España,ES: MTV ᴴᴰ
,ES: MUNDO SERIES ᴴᴰ
Negocios TV,ES: NEGOCIOS TV ᴴᴰ
Nick JR,ES: NICK JR ᴴᴰ
Nickelodeon HD,ES: NICKELODEON ᴴᴰ
Odisea,ES: ODISEA ᴴᴰ
Real Madrid TV,ES: REAL MADRID TV ᴴᴰ
Somos,ES: SOMOS ᴴᴰ
,ES: SONY CHANNEL ᴴᴰ
,ES: SONY MOVIES ᴴᴰ
Sundance TV,ES: SUNDANCE TV ᴴᴰ
SyFy HD,ES: SYFY ᴴᴰ
TCM HD,ES: TCM ᴴᴰ
Telecinco HD,ES: TELE CINCO ᴴᴰ
Teledeporte,ES: TELE DEPORTE ᴴᴰ
Telemadrid,ES: TELE MADRID ᴴᴰ
Telemadrid Internacional,ES: TELE MADRID INTERNACIONAL ᴴᴰ
,ES: THEATER DISCOVERY ᴴᴰ
tlnovelas,ES: TL NOVELAS ᴴᴰ
,ES: TLC ᴴᴰ
,ES: TNT NOVELAS ᴴᴰ
,ES: TNT NOVELAS ᴴᴰ
,ES: TNT SERIES ᴴᴰ
,ES: TNT SERIES ᴴᴰ
TRECE,ES: TRECE TV ᴴᴰ
TV Canaria,ES: TV CANARIA ᴴᴰ
TV3 Catalunya,ES: TV3 CAT ᴴᴰ
Ten,ES: TVE INT ᴴᴰ
TVG2,ES: TVG 2 ᴴᴰ
Atreseries,ES: A TRES SERIES ᴴᴰ
PTV Málaga,TY: CANAL MÁLAGA ᴿᴬᵂ
,TY: CANAL PARLAMENTO ᴿᴬᵂ
CGTN Español,TY: CGTN ESPAÑOL ᴿᴬᵂ
Cine Feel Good,TY: CINE FEEL GOOD VERDI TV ᴿᴬᵂ
Cines Verdi TV,TY: CINES VERDI TV ᴿᴬᵂ
CNN en Español,TY: DW EN ESPAÑOL ᴿᴬᵂ
,TY: ESTEPONA TV ᴿᴬᵂ
EITB Basque,TY: ETB BASQUE ᴿᴬᵂ
EuroNews,TY: EURONEWS ᴿᴬᵂ
DE | Motorvision TV,TY: MOTORVISION TV ᴿᴬᵂ
Onda Algeciras TV,TY: ONDA ALGECIRAS ᴿᴬᵂ
Red Bull TV,TY: RED BULL TV ᴿᴬᵂ
,TY: RUNTIME ᴿᴬᵂ
Runtime Acción,TY: RUNTIME ACCIÓN ᴿᴬᵂ
RunTime Clásicos,TY: RUNTIME CLÁSICOS ᴿᴬᵂ
Runtime Comedia,TY: RUNTIME COMEDIA ᴿᴬᵂ
Runtime Crimen,TY: RUNTIME CRIMEN ᴿᴬᵂ
Runtime Romance,TY: RUNTIME ROMANCE ᴿᴬᵂ
Runtime Thriller-Terror,TY: RUNTIME THRILLER + TERROR ᴿᴬᵂ
,TY: SIC INTERNACIONAL ᴿᴬᵂ
Telesur HD,TY: TELESUR ᴿᴬᵂ
,TY: TEST 2 INTERCOMERCAL TV ᴿᴬᵂ
,TY: TEST 6 VIVIR CON GATOS ᴿᴬᵂ
,TY: TEVE.CAT ᴿᴬᵂ
TV Melilla,TY: TV MELILLA ᴿᴬᵂ
,TY: VIVA RTV ᴿᴬᵂ
Vivir con gatos,TY: VIVIR CON GATOS ᴿᴬᵂ
Vivir con perros,TY: VIVIR CON PERROS ᴿᴬᵂ
,TY: ALCARRIA TV ᴿᴬᵂ
Aragón TV,TY: ARAGÓN TV INT ᴿᴬᵂ
,TY: ARIRANG INTERNACIONAL ᴿᴬᵂ
,#### ES| TDT ESPAÑA VIP ᴴᴰ ####
24 Horas,ES: 24H TVE ᴴᴰ
La 1 HD,ES: LA 1 ᴴᴰ
La 2,ES: LA 2 ᴴᴰ
Antena 3 HD,ES: ANTENA 3 ᴴᴰ
Cuatro HD,ES: CUATRO ᴴᴰ
Telecinco HD,ES: TELECINCO ᴴᴰ
La Sexta HD,ES: LA SEXTA ᴴᴰ
Real Madrid TV,ES: REAL MADRID TV ᴴᴰ
ETB2,ES: ETB 2 ᴴᴰ
Canal Sur Andalucía,ES: CANAL SUR ANDALUCIA 2 ᴴᴰ
La Otra,ES: LA OTRA ᴴᴰ
TRECE,ES: TRECE TV ᴴᴰ
CMM TV,ES: CMM ᴴᴰ
Negocios TV,ES: NEGOCIOS TV ᴴᴰ
DBike,ES: DBIKE ᴴᴰ
PTV Granada,ES: PTV GRANADA ᴴᴰ
PTV Córdoba,ES: PTV CORDOBA ᴴᴰ
,#### ES| TDT ESPAÑA VIP SD ####
La 1 HD,ES: LA 1 SD
La 2,ES: LA 2 SD
Antena 3 HD,ES: ANTENA 3 SD
Cuatro HD,ES: CUATRO SD
Telecinco HD,ES: TELECINCO SD
La Sexta HD,ES: LA SEXTA SD
Real Madrid TV,ES: REAL MADRID TV SD
Canal Sur Andalucía,ES: CANAL SUR ANDALUCIA SD
Aragón TV,ES: ARAGON TV INT SD
Cazavisión,ES: CUBAVISION SD
La Otra,ES: LA OTRA SD
TRECE,ES: TRECE TV SD
TV3 Catalunya,ES: TV3 CATALUÑA SD
CMM TV,ES: CMM SD
DBike,ES: DBIKE SD
PTV Granada,ES: PTV GRANADA SD
PTV Córdoba,ES: PTV CORDOBA SD
,#### ES| TDT ESPAÑA VIP ᵁᴴᴰ ####
24 Horas,ES: 24H TVE ᵁᴴᴰ
La 1 HD,ES: LA 1 ᵁᴴᴰ
La 2,ES: LA 2 ᵁᴴᴰ
Antena 3 HD,ES: ANTENA 3 ᵁᴴᴰ
Cuatro HD,ES: CUATRO ᵁᴴᴰ
Telecinco HD,ES: TELECINCO ᵁᴴᴰ
La Sexta HD,ES: LA SEXTA ᵁᴴᴰ
Telemadrid,ES: TELE MADRID ᵁᴴᴰ
Real Madrid TV,ES: REAL MADRID TV ᵁᴴᴰ
UBEAT,ES: U-BEAT ᵁᴴᴰ
Canal Sur HD,ES: CANAL SUR ᵁᴴᴰ
Canal Extremadura SAT,ES: EXTREMADURA SAT ᵁᴴᴰ
La Otra,ES: LA OTRA ᵁᴴᴰ
TRECE,ES: TRECE TV ᵁᴴᴰ
CMM TV,ES: CMM ᵁᴴᴰ
CNN en Español,ES: DW EN ESPAÑOL ᵁᴴᴰ
France 24,ES: FRANCE 24 ES ᵁᴴᴰ
,ES: EL PAIS TV ᵁᴴᴰ
,ES: EL CONFEDENCIAL TV ᵁᴴᴰ
DBike,ES: DBIKE ᵁᴴᴰ
PTV Granada,ES: PTV GRANADA ᵁᴴᴰ
PTV Córdoba,ES: PTV CORDOBA ᵁᴴᴰ
Iberalia TV,ES: IBERALIA TV ᴴᴰ
Iberalia caza,ES: IBERALIA CAZA ᴴᴰ
Iberalia pesca,ES: IBERALIA PESCA ᴴᴰ
Caza y Pesca HD,ES: CAZA Y PESCA ᴴᴰ
Cazavisión,ES: CAZAVISION ᴴᴰ
Canal Cocina,ES: CANAL COCINA ᴴᴰ
Iberalia TV,ES: IBERALIA TV SD
Iberalia caza,ES: IBERALIA CAZA SD
Iberalia pesca,ES: IBERALIA PESCA SD
Caza y Pesca HD,ES: CAZA Y PESCA SD
Cazavisión,ES: CAZAVISION SD
Canal Cocina,ES: CANAL COCINA SD
Iberalia TV,ES: IBERALIA TV ᵁᴴᴰ
Iberalia caza,ES: IBERALIA CAZA ᵁᴴᴰ
Iberalia pesca,ES: IBERALIA PESCA ᵁᴴᴰ
Caza y Pesca HD,ES: CAZA Y PESCA ᵁᴴᴰ
Cazavisión,ES: CAZAVISION ᵁᴴᴰ
Canal Cocina,ES: CANAL COCINA ᵁᴴᴰ
,##### ES| M+ CINE VIP ᴴᴰ #####
M+ Acción HD,ES: MOVISTAR ACCION ᴴᴰ
M+ Drama HD,ES: MOVISTAR DRAMA ᴴᴰ
M+ Comedia HD,ES: MOVISTAR COMEDIA ᴴᴰ
M+ Originales HD,ES: MOVISTAR ORIGINALES ᴴᴰ
M+ Clásicos HD,ES: MOVISTAR CLASICOS ᴴᴰ
M+ Estrenos HD,ES: MOVISTAR ESTRENOS ᴴᴰ
M+ Cine Español,ES: MOVISTAR CINE ESPAÑOL  ᴴᴰ
M+ Oscars,ES: MOVISTAR EN JUEGO ᴴᴰ
M+ Indie HD,ES: MOVISTAR INDIE ᴴᴰ
SkyShowtime,ES: SKY SHOW TIME ᴴᴰ
BOM Cine,ES: BOM CINE ᴴᴰ
AXN HD,ES: AXN ᴴᴰ
Warner TV HD,ES: WARNER TV ᴴᴰ
Comedy Central HD,ES: COMEDY CENTRAL ᴴᴰ
Calle 13 HD,ES: CALLE 13 ᴴᴰ
Canal FlixOlé 1,ES: CANAL FLIXOLé 1 ᴴᴰ
Canal FlixOlé 2,ES: CANAL FLIXOLé 2 ᴴᴰ
DARK,ES: DARK ᴴᴰ
XTRM,ES: XTRM ᴴᴰ
Somos,ES: SOMOS ᴴᴰ
AXN Movies HD,ES: AXN MOVIES ᴴᴰ
Cosmo HD,ES: COSMO ᴴᴰ
AMC HD,ES: AMC ᴴᴰ
TCM HD,ES: TCM ᴴᴰ
Sundance TV,ES: SUNDANCE TV ᴴᴰ
Canal Hollywood HD,ES: HOLLYWOOD ᴴᴰ
BBC Series,ES: BBC SERIES ᴴᴰ
Veo7,ES: VEO7 ᴴᴰ
,##### ES| M+ CINE VIP SD #####
M+ Acción HD,ES: MOVISTAR ACCION SD
M+ Comedia HD,ES: MOVISTAR COMEDIA SD
M+ Drama HD,ES: MOVISTAR DRAMA SD
M+ Originales HD,ES: MOVISTAR ORIGINALES SD
M+ Clásicos HD,ES: MOVISTAR CLASICOS SD
M+ Estrenos HD,ES: MOVISTAR ESTRENOS SD
M+ Indie HD,ES: MOVISTAR INDIE SD
Squirrel 2,ES: PARAMOUNT CHANNEL SD
AXN HD,ES: AXN SD
Warner TV HD,ES: WARNER TV SD
Comedy Central HD,ES: COMEDY CENTRAL SD
Calle 13 HD,ES: CALLE 13 SD
Canal FlixOlé 1,ES: CANAL FLIXOLé 1 SD
Canal FlixOlé 2,ES: CANAL FLIXOLé 2 SD
DARK,ES: DARK SD
XTRM,ES: XTRM SD
Somos,ES: SOMOS SD
AXN Movies HD,ES: AXN MOVIES SD
Cosmo HD,ES: COSMO SD
AMC HD,ES: AMC SD
Veo7,ES: VEO7 SD
TCM HD,ES: TCM SD
Canal Hollywood HD,ES: HOLLYWOOD SD
Sundance TV,ES: SUNDANCE TV SD
BBC Series,ES: BBC SERIES SD
M+ Oscars,ES: MOVISTAR EN JUEGO SD
,##### ES| M+ CINE VIP ᵁᴴᴰ #####
M+ Acción HD,ES: MOVISTAR ACCION ᵁᴴᴰ
M+ Comedia HD,ES: MOVISTAR COMEDIA ᵁᴴᴰ
M+ Drama HD,ES: MOVISTAR DRAMA ᵁᴴᴰ
M+ Originales HD,ES: MOVISTAR ORIGINALES ᵁᴴᴰ
M+ Clásicos HD,ES: MOVISTAR CLASICOS ᵁᴴᴰ
M+ Cine Español,ES: MOVISTAR CINE ESPAÑOL ᵁᴴᴰ
M+ Indie HD,ES: MOVISTAR INDIE ᵁᴴᴰ
Squirrel 2,ES: PARAMOUNT CHANNEL ᵁᴴᴰ
M+ Estrenos HD,ES: MOVISTAR ESTRENOS ᵁᴴᴰ
SkyShowtime,ES: SKY SHOW TIME ᵁᴴᴰ
STAR Channel HD,ES: STAR CHANNEL (FOX) ᵁᴴᴰ
AXN HD,ES: AXN ᵁᴴᴰ
Warner TV HD,ES: WARNER TV ᵁᴴᴰ
Comedy Central HD,ES: COMEDY CENTRAL ᵁᴴᴰ
Calle 13 HD,ES: CALLE 13 ᵁᴴᴰ
Canal FlixOlé 1,ES: CANAL FLIXOLé 1 ᵁᴴᴰ
Canal FlixOlé 2,ES: CANAL FLIXOLé 2 ᵁᴴᴰ
DARK,ES: DARK ᵁᴴᴰ
XTRM,ES: XTRM ᵁᴴᴰ
Somos,ES: SOMOS ᵁᴴᴰ
AXN Movies HD,ES: AXN MOVIES ᵁᴴᴰ
Cosmo HD,ES: COSMO ᵁᴴᴰ
BBC Series,ES: BBC SERIES ᵁᴴᴰ
SyFy HD,ES: SYFY ᵁᴴᴰ VOS
SyFy HD,ES: SYFY ᵁᴴᴰ
TCM HD,ES: TCM ᵁᴴᴰ
Veo7,ES: VEO7 ᵁᴴᴰ
Canal Hollywood HD,ES: HOLLYWOOD ᵁᴴᴰ
Sundance TV,ES: SUNDANCE TV ᵁᴴᴰ
M+ Oscars,ES: MOVISTAR EN JUEGO ᵁᴴᴰ
,#### ES| MOVISTAR PLUS+ VIP ᴴᴰ ####
Movistar Plus+ HD,ES: MOVISTAR PLUS+ ᴴᴰ
Movistar Plus+ HD,ES: MOVISTAR PLUS+ 2 ᴴᴰ
M+ Hits HD,ES: MOVISTAR HITS ᴴᴰ
M+ Documentales HD,ES: MOVISTAR DOCUMENTALES ᴴᴰ
,#### ES| MOVISTAR PLUS+ VIP SD ####
Movistar Plus+ HD,ES: MOVISTAR PLUS+ SD
Movistar Plus+ HD,ES: MOVISTAR PLUS+ 2 SD
M+ Hits HD,ES: MOVISTAR HITS SD
M+ Documentales HD,ES: MOVISTAR DOCUMENTALES SD
,#### ES| MOVISTAR PLUS+ VIP ᵁᴴᴰ ####
Movistar Plus+ HD,ES: MOVISTAR PLUS+ ᵁᴴᴰ
Movistar Plus+ HD,ES: MOVISTAR PLUS+ 2 ᵁᴴᴰ
M+ Hits HD,ES: MOVISTAR HITS ᵁᴴᴰ
M+ Documentales HD,ES: MOVISTAR DOCUMENTALES ᵁᴴᴰ
,#### TDT SERIES VIP ᴴᴰ ####
Atreseries,ES: A3SERIES ᴴᴰ
Mega,ES: MEGA ᴴᴰ
Neox,ES: NEOX ᴴᴰ
Nova,ES: NOVA ᴴᴰ
Be Mad,ES: BEMAD ᴴᴰ
Energy,ES: ENERGY ᴴᴰ
Divinity,ES: DIVINITY ᴴᴰ
TVG,ES: TV GALICIA ᴴᴰ
,#### TDT SERIES VIP SD ####
Atreseries,ES: A3SERIES SD
Mega,ES: MEGA SD
Neox,ES: NEOX SD
Nova,ES: NOVA SD
Be Mad,ES: BEMAD SD
Energy,ES: ENERGY SD
Divinity,ES: DIVINITY SD
Ten,ES: TEN SD
DKISS,ES: DKISS SD
,#### TDT SERIES VIP ᵁᴴᴰ ####
Atreseries,ES: A3SERIES ᵁᴴᴰ
Mega,ES: MEGA ᵁᴴᴰ
Neox,ES: NEOX ᵁᴴᴰ
Nova,ES: NOVA ᵁᴴᴰ
Be Mad,ES: BEMAD ᵁᴴᴰ
Energy,ES: ENERGY ᵁᴴᴰ
Divinity,ES: DIVINITY ᵁᴴᴰ
Ten,ES: TEN ᵁᴴᴰ
DKISS,ES: DKISS ᵁᴴᴰ
,##### 24/7 ESPAÑA #####
,ES: NETFLIX ACCIÓN ᴿᴬᵂ
,ES: NETFLIX COMEDIA ᴿᴬᵂ
,ES: NETFLIX FAMILIA ᴿᴬᵂ
,ES: NETFLIX ROMANCE ᴿᴬᵂ
,ES: NETFLIX THRILLER ᴿᴬᵂ
Alquiler 1,ES: ALQUILER 1 ᴿᴬᵂ
Alquiler 1,ES: ALQUILER 2 ᴿᴬᵂ
,ES: NETFLIX DRAMA ᴿᴬᵂ
,ES: NETFLIX ESPAÑOL ᴿᴬᵂ
,ES: NETFLIX HISTORIA ᴿᴬᵂ
,ES: NETFLIX PELÍCULAS ᴿᴬᵂ
,ES: NETFLIX TELEVISION ᴿᴬᵂ
,##### NETFLIX ESTRENOS ᴿᴬᵂ #####
,ES: NETFLIX ESTRENOS 1 ᴿᴬᵂ
,ES: NETFLIX ESTRENOS 2 ᴿᴬᵂ
,ES: NETFLIX ESTRENOS 3 ᴿᴬᵂ
,ES: NETFLIX ESTRENOS 4 ᴿᴬᵂ
,ES: NETFLIX ESTRENOS 5 ᴿᴬᵂ
,ES: NETFLIX ESTRENOS 6 ᴿᴬᵂ
,ES: NETFLIX ESTRENOS 7 ᴿᴬᵂ
,ES: NETFLIX ESTRENOS 8 ᴿᴬᵂ
,ES: NETFLIX ESTRENOS 9 ᴿᴬᵂ
,ES: NETFLIX ESTRENOS 10 ᴿᴬᵂ
,ES: NETFLIX ESTRENOS 11 ᴿᴬᵂ
,ES: NETFLIX ESTRENOS 12 ᴿᴬᵂ
,ES: NETFLIX ESTRENOS 13 ᴿᴬᵂ
,##### NETFLIX SERIES ᴿᴬᵂ #####
,ES: NETFLIX SERIES INFO ᴿᴬᵂ
,ES: NETFLIX SERIES 1 ᴿᴬᵂ
,ES: NETFLIX SERIES 2 ᴿᴬᵂ
,ES: NETFLIX SERIES 3 ᴿᴬᵂ
,ES: NETFLIX SERIES 4 ᴿᴬᵂ
,ES: NETFLIX SERIES 5 ᴿᴬᵂ
,ES: NETFLIX SERIES 6 ᴿᴬᵂ
,ES: NETFLIX SERIES 7 ᴿᴬᵂ
,ES: NETFLIX SERIES 8 ᴿᴬᵂ
,ES: NETFLIX SERIES 9 ᴿᴬᵂ
,ES: NETFLIX SERIES 10 ᴿᴬᵂ
,### MOVISTAR+ ESTRENOS ᴿᴬᵂ ###
,ES: ESTRENOS M+ INFO ᴿᴬᵂ
,ES: ESTRENOS M+ 1 ᴿᴬᵂ
,ES: ESTRENOS M+ 2 ᴿᴬᵂ
,ES: ESTRENOS M+ 3 ᴿᴬᵂ
,ES: ESTRENOS M+ 4 ᴿᴬᵂ
,ES: ESTRENOS M+ 5 ᴿᴬᵂ
,ES: ESTRENOS M+ 6 ᴿᴬᵂ
,ES: ESTRENOS M+ 7 ᴿᴬᵂ
,ES: ESTRENOS M+ 8 ᴿᴬᵂ
,ES: ESTRENOS M+ 9 ᴿᴬᵂ
,ES: ESTRENOS M+ 10 ᴿᴬᵂ
,ES: ESTRENOS M+ 11 ᴿᴬᵂ
,ES: ESTRENOS M+ 12 ᴿᴬᵂ
,ES: ESTRENOS M+ 13 ᴿᴬᵂ
,ES: ESTRENOS M+ 14 ᴿᴬᵂ
,ES: ESTRENOS M+ 15 ᴿᴬᵂ
,ES: ESTRENOS M+ 16 ᴿᴬᵂ
,ES: ESTRENOS M+ 17 ᴿᴬᵂ
,ES: ESTRENOS M+ 19 ᴿᴬᵂ
,### MOVISTAR+ SERIES ᴿᴬᵂ ###
,ES: M+ SERIES INFO ᴿᴬᵂ
,ES: M+ SERIES 1 ᴿᴬᵂ
,ES: M+ SERIES 2 ᴿᴬᵂ
,ES: M+ SERIES 3 ᴿᴬᵂ
,ES: M+ SERIES 4 ᴿᴬᵂ
,ES: M+ SERIES 5 ᴿᴬᵂ
,ES: M+ SERIES 6 ᴿᴬᵂ
,ES: M+ SERIES 7 ᴿᴬᵂ
,ES: M+ SERIES 8 ᴿᴬᵂ
,ES: M+ SERIES 9 ᴿᴬᵂ
,ES: M+ SERIES 10 ᴿᴬᵂ
,#### RAKUTEN TV ᴿᴬᵂ ####
Acción (Rakuten TV),ES: RAKUTEN TV ACCION ᴿᴬᵂ
Cine Español (Rakuten TV),ES: RAKUTEN TV CINE ESPANOL ᴿᴬᵂ
Crimen (Rakuten TV),ES: RAKUTEN TV CRIME SERIES ᴿᴬᵂ
Películas Románticas (Rakuten TV),ES: RAKUTEN TV ROMANCE MOVIES ᴿᴬᵂ
Thrillers (Rakuten TV),ES: RAKUTEN TV THRILLER MOVIES ᴿᴬᵂ
Pelis Top (Rakuten TV),ES: RAKUTEN TV TOP MOVIES ᴿᴬᵂ
Clan,ES: CLAN TVE ᴴᴰ
Dreamworks HD,ES: DREAMWORKS ᴴᴰ
Nickelodeon HD,ES: NICKELODEON ᴴᴰ
Nick JR,ES: NICK JUNIOR ᴴᴰ
Clan,ES: CLAN TVE SD
Boing,ES: BOING SD
Dreamworks HD,ES: DREAMWORKS SD
Nickelodeon HD,ES: NICKELODEON SD
Disney Junior,ES: DISNEY JUNIOR SD
Nick JR,ES: NICK JUNIOR SD
Baby TV,ES: BABY TV SD
Clan,ES: CLAN TVE ᵁᴴᴰ
Boing,ES: BOING ᵁᴴᴰ
Dreamworks HD,ES: DREAMWORKS ᵁᴴᴰ
Nickelodeon HD,ES: NICKELODEON ᵁᴴᴰ
Nick JR,ES: NICK JUNIOR ᵁᴴᴰ
,#### ES| M+ LALIGA VIP ᴴᴰ ####
LaLiga TV Hypermotion HD,ES: LALIGA TV HYPERMOTION ᴴᴰ
M+ LaLiga HD,ES: MOVISTAR LA LIGA ᴴᴰ
LaLiga TV Hypermotion 3,ES: LALIGA TV HYPERMOTION 3 ᴴᴰ
,#### ES| M+ LALIGA VIP SD ####
M+ LaLiga HD,ES: MOVISTAR LA LIGA SD
LaLiga TV Hypermotion HD,ES: LALIGA TV HYPERMOTION SD
LaLiga TV Hypermotion 2,ES: LALIGA TV HYPERMOTION 2 SD
,#### ES| M+ LALIGA VIP ᵁᴴᴰ ####
M+ LaLiga HD,ES: MOVISTAR LA LIGA ʰᵉᵛᶜ
M+ LaLiga HD,ES: MOVISTAR LA LIGA ᵁᴴᴰ
M+ LaLiga HD,ES: MOVISTAR LALIGA ᵁᴴᴰ ³⁸⁴⁰ᴾ
M+ LaLiga 3,ES: M+ LALIGA TV 3 ᵁᴴᴰ
LaLiga TV Hypermotion HD,ES: LALIGA TV HYPERMOTION ᵁᴴᴰ
LaLiga TV Hypermotion 2,ES: LALIGA TV HYPERMOTION 2 ᵁᴴᴰ
LaLiga TV Hypermotion 3,ES: LALIGA TV HYPERMOTION 3 ᵁᴴᴰ
LaLiga TV Hypermotion 2,ES: LALIGA TV HYPERMOTION 4 ᵁᴴᴰ
LaLiga TV Hypermotion 2,ES: LALIGA TV HYPERMOTION 5 ᵁᴴᴰ
LaLiga TV Hypermotion 2,ES: LALIGA TV HYPERMOTION 6 ᵁᴴᴰ
LaLiga TV Hypermotion 2,ES: LALIGA TV HYPERMOTION 7 ᵁᴴᴰ
,####### VIX PPV ⁸ᴷ #######
,##### VIX PPV #####
,### M. LIGA DE CAMPEONES ᴴᴰ ###
M+ Liga de Campeones HD,ES: M. LIGA DE CAMPEONES 1 ᴴᴰ
M+ Liga de Campeones 2 HD,ES: M. LIGA DE CAMPEONES 2 ᴴᴰ
,### M. LIGA DE CAMPEONES ᴸᴼᵂ ###
M+ Liga de Campeones HD,ES: M. LIGA DE CAMPEONES 1 ᴸᴼᵂ
M+ Liga de Campeones 2 HD,ES: M. LIGA DE CAMPEONES 2 ᴸᴼᵂ
,### M. LIGA DE CAMPEONES SD ###
M+ Liga de Campeones HD,ES: M. LIGA DE CAMPEONES 1 SD
M+ Liga de Campeones 2 HD,ES: M. LIGA DE CAMPEONES 2 SD
,### M. LIGA DE CAMPEONES ᴴᴰ ###
